Z.Aydinlioglu@hotmail.com	Zeynep Nihan	Aydınlıoğlu	10055429	6000	ELAZIĞ	1980-09-20	Frontend Developer	8	0	0	1	0	0	0	1	0	1	0	0	0	1
M.Ozpolat@hotmail.com	Merve Nur	Özpolat	10140433	9000	MUŞ	1982-08-16	DevOps Engineer	4	1	1	0	0	0	0	0	0	0	1	1	1	1
L.Akkut@hotmail.com	Lemis	Akküt	10201451	6000	UŞAK	1980-08-16	Android Developer	4	1	0	0	0	0	0	0	0	0	1	0	0	0
S.Yıldırımer@hotmail.com	Selen Elif	Yıldırımer	10268178	12000	ISPARTA	1966-01-05	Frontend Developer	6	0	0	1	0	0	0	0	0	1	0	1	0	1
B.Purcu@hotmail.com	Bahar Merve	Purçu	10328669	6000	BALIKESİR	1986-03-28	Android Developer	4	0	1	0	0	0	0	0	0	1	0	0	0	0
M.Ozaydın@hotmail.com	Muhammet	Özaydın	10379529	14000	ELAZIĞ	1993-05-06	DevOps Engineer	9	0	0	0	1	0	0	0	0	0	1	1	0	1
S.Remzi@hotmail.com	Simavi	Remzi	10452156	6000	ESKİŞEHİR	1999-02-22	Full stack Developer	9	1	0	0	0	0	1	0	0	0	0	0	0	1
H.Sugoturen@hotmail.com	Hasan Gökay	Sugötüren	10575512	6000	MANİSA	1965-06-01	Backend Developer	5	0	1	0	0	0	0	0	0	0	0	1	0	1
B.Ozay@hotmail.com	Berfin Elif	Özay	10935990	7000	KARS	1982-05-16	Android Developer	7	0	1	0	0	0	0	0	0	0	0	0	0	1
A.Oz@hotmail.com	Aysel	Öz	11009265	12000	HATAY	1974-07-02	IOS developer	4	0	0	0	0	0	0	0	1	0	0	0	0	0
T.Eryılmaz@hotmail.com	Tunca	Eryılmaz	11206651	10000	SAKARYA	1991-05-28	QA/Test Engineer	3	0	0	0	0	1	1	1	0	0	0	0	0	1
K.Uz@hotmail.com	Kemal Tolga	Uz	11231443	10000	KAHRAMANMARAŞ	1978-09-22	Full stack Developer	3	1	1	0	0	0	0	0	0	0	0	0	0	1
A.Sakarya@hotmail.com	Ayşe Saliha	Sakarya	11310831	9000	HATAY	1963-04-25	Android Developer	5	0	0	1	0	1	0	0	0	1	0	1	1	0
A.AvcıOzsoy@hotmail.com	Almina	Avcı Özsoy	11398791	15000	AFYONKARAHİSAR	1989-05-26	Android Developer	9	0	0	0	0	0	0	1	0	0	0	0	1	1
N.Rusan@hotmail.com	Nurseli	Ruşan	11447761	6000	ESKİŞEHİR	1978-11-18	IOS developer	1	1	0	0	0	0	0	0	0	0	1	1	1	1
F.Dundar@hotmail.com	Fidan	Dündar	11447971	7000	İSTANBUL	1994-05-26	Full stack Developer	6	1	0	0	0	1	0	0	0	0	0	0	0	1
İ.Yerliyurt@hotmail.com	İlkyaz	Yerliyurt	11680260	14000	BİNGÖL	1983-09-01	Backend Developer	4	0	1	0	0	0	0	0	0	0	0	1	0	1
N.Saraclar@hotmail.com	Nesrin Gökçe	Saraçlar	11855548	12000	KONYA	1984-05-25	DevOps Engineer	6	0	0	0	0	0	0	1	0	0	0	0	1	0
H.Beydag@hotmail.com	Halime	Beydağ	11915487	10000	AFYONKARAHİSAR	1963-04-24	DevOps Engineer	2	0	1	0	0	0	1	0	0	0	1	0	0	0
I.Gulcan@hotmail.com	Işınbıke	Gülcan	11952173	5000	KIRIKKALE	1967-11-01	Android Developer	2	1	0	0	0	0	0	0	0	0	1	0	0	1
A.Aksoy@hotmail.com	Ayşen	Aksoy	11965096	6000	ŞANLIURFA	1997-10-18	IOS developer	7	0	1	0	0	0	0	0	1	0	1	0	0	0
N.Yalova@hotmail.com	Nazım Bircan	Yalova	11965760	9000	BOLU	1985-03-02	DevOps Engineer	4	0	0	0	0	0	1	0	0	0	1	0	0	1
E.Baldo@hotmail.com	Ecren	Baldo	11972422	6000	MARDİN	1961-10-11	Android Developer	3	0	0	0	1	0	0	0	0	0	0	0	1	0
G.Soker@hotmail.com	Gencay	Söker	12053255	10000	MANİSA	1988-04-22	DevOps Engineer	10	0	0	1	0	0	0	0	0	0	0	0	0	0
İ.Ocar@hotmail.com	İsmail Egecan	Oçar	12100514	8000	ADIYAMAN	1982-10-21	QA/Test Engineer	4	1	0	0	0	0	1	0	0	0	0	0	0	1
Ş.Ozbir@hotmail.com	Şelale	Özbir	12110710	11000	AFYONKARAHİSAR	1971-08-29	IOS developer	3	0	0	1	0	0	0	0	0	0	0	1	1	1
S.Candan@hotmail.com	Sena Nur	Candan	12288343	14000	KARS	1985-03-19	IOS developer	3	1	1	0	0	0	0	0	1	0	0	1	1	1
Ö.Kaska@hotmail.com	Örsel	Kaşka	12308849	6000	AĞRI	1987-01-14	Full stack Developer	3	1	0	0	0	1	0	0	0	0	0	0	0	0
S.Kalsın@hotmail.com	Sezer	Kalsın	12392024	12000	KÜTAHYA	1987-05-04	QA/Test Engineer	6	1	0	0	1	0	1	0	0	0	0	0	0	1
M.Kocabas@hotmail.com	Mehmet Han	Kocabaş	12581542	9000	KASTAMONU	1989-04-17	DevOps Engineer	3	1	0	1	0	0	0	0	0	0	0	0	0	0
